appid,name,price,release_date,required_age,genres,achievements,positive_ratings,negative_ratings,windows,mac,linux
10,Counter-Strike,7.19,2000-11-01,0,Action,0,124534,3339,True,True,True
30,Day of Defeat,3.99,2003-05-01,0,Action,0,3416,398,True,True,True
40,Deathmatch Classic,3.99,2001-06-01,0,Action,0,1273,267,True,True,True
50,Half-Life: Opposing Force,5.05,1999-11-01,0,Action,0,5250,288,True,True,True
60,Ricochet,3.99,2000-11-01,0,Action,0,2758,684,True,True,True
70,Half-Life,7.19,1998-11-08,0,Action,0,27755,1100,True,True,True
80,Counter-Strike: Condition Zero,7.19,2004-03-01,0,Action,0,12120,1439,True,True,True
130,Half-Life: Blue Shift,3.99,2001-06-01,0,Action,0,3822,420,True,True,True
220,Half-Life 2,7.19,2004-11-16,0,Action,33,67902,2419,True,True,True
240,Counter-Strike: Source,7.19,2004-11-01,0,Action,147,76640,3497,True,True,True
280,Half-Life: Source,0.0,2004-06-01,0,Action,0,3767,1053,True,True,True
300,Day of Defeat: Source,7.19,2010-07-12,0,Action,54,10489,1210,True,True,True
320,Half-Life 2: Deathmatch,3.99,2004-11-01,0,Action,0,6020,787,True,True,True
340,Half-Life 2: Lost Coast,0.0,2005-10-27,0,Action,0,5783,1020,True,True,True
360,Half-Life Deathmatch: Source,0.0,2006-05-01,0,Action,0,1362,473,True,True,True
380,Half-Life 2: Episode One,5.79,2006-06-01,0,Action,13,7908,517,True,True,True
400,Portal,7.19,2007-10-10,0,Action,15,51801,1080,True,True,True
420,Half-Life 2: Episode Two,5.79,2007-10-10,0,Action,22,13902,696,True,True,True
440,Team Fortress 2,0.0,2007-10-10,0,Action;Free to Play,520,515879,34036,True,True,True
500,Left 4 Dead,7.19,2008-11-17,0,Action,73,17951,948,True,True,False
550,Left 4 Dead 2,7.19,2009-11-19,0,Action,70,251789,8418,True,True,True
570,Dota 2,0.0,2013-07-09,0,Action;Free to Play;Strategy,0,863507,142079,True,True,True
620,Portal 2,7.19,2011-04-18,0,Action;Adventure,51,138220,1891,True,True,True
630,Alien Swarm,0.0,2010-07-19,0,Action,66,17435,941,True,False,False
730,Counter-Strike: Global Offensive,0.0,2012-08-21,0,Action;Free to Play,167,2644404,402313,True,True,True
1002,Rag Doll Kung Fu,5.99,2005-10-12,0,Indie,0,40,17,True,False,False
1200,Red Orchestra: Ostfront 41-45,3.99,2006-03-14,0,Action,44,1562,223,True,True,True
1250,Killing Floor,14.99,2009-05-14,0,Action,285,53710,2649,True,True,True
1300,SiN Episodes: Emergence,7.19,2006-05-10,0,Action,0,468,61,True,False,False
1500,Darwinia,7.19,2005-07-14,0,Indie;Strategy,0,472,158,True,True,True
1510,Uplink,6.99,2006-08-23,0,Indie;Strategy,0,1602,152,True,True,True
1520,DEFCON,7.19,2006-09-29,0,Indie;Strategy,22,2057,344,True,True,True
1530,Multiwinia,7.19,2008-09-19,0,Indie,12,368,75,True,True,False
1600,Dangerous Waters,22.99,2006-02-07,0,Strategy,0,140,44,True,False,False
1610,Space Empires IV Deluxe,6.99,2006-02-07,0,Strategy,0,112,26,True,False,False
1630,Disciples II: Rise of the Elves ,4.99,2006-07-06,0,Strategy,0,451,108,True,False,False
1640,Disciples II: Gallean's Return,4.99,2006-07-06,0,Strategy,0,490,152,True,False,False
1670,Iron Warriors: T - 72 Tank Command ,3.99,2006-07-26,0,Strategy,0,137,102,True,False,False
1690,Space Empires V,10.99,2006-10-16,0,Strategy,0,191,85,True,False,False
1700,Arx Fatalis,2.99,2007-04-03,0,RPG,0,671,106,True,False,False
1840,Source Filmmaker,0.0,2012-07-10,0,Animation & Modeling;Video Production,0,15083,1111,True,False,False
1900,Earth 2160,3.99,2006-04-01,0,Strategy,0,498,238,True,True,True
1930,Two Worlds Epic Edition,6.99,2009-04-30,0,RPG,0,2656,1055,True,True,True
2100,Dark Messiah of Might & Magic,4.29,2006-10-25,0,Action;RPG,0,4386,316,True,False,False
2200,Quake III Arena,12.99,2007-08-03,0,Action,0,1362,66,True,False,False
2210,Quake IV,12.99,2011-08-04,18,Action,0,891,171,True,False,False
2270,Wolfenstein 3D,2.99,2007-08-03,0,Action,0,1773,87,True,False,False
2280,Ultimate Doom,3.99,2007-08-03,0,Action,0,3705,257,True,False,False
2290,Final DOOM,3.99,2007-08-03,0,Action,0,573,82,True,False,False
2300,DOOM II,3.99,2007-08-03,0,Action,0,2517,182,True,False,False
2310,QUAKE,3.99,2007-08-03,0,Action,0,2618,136,True,False,False
2320,QUAKE II,3.99,2007-08-03,0,Action,0,1369,107,True,False,False
2330,QUAKE II Mission Pack: The Reckoning,2.49,2007-08-03,0,Action,0,65,12,True,False,False
2340,QUAKE II Mission Pack: Ground Zero,2.49,2007-08-03,0,Action,0,54,33,True,False,False
2350,QUAKE III: Team Arena,12.99,2007-08-03,0,Action,0,108,31,True,False,False
2360,HeXen: Beyond Heretic,2.99,2007-08-03,0,Action,0,249,26,True,False,False
2370,HeXen: Deathkings of the Dark Citadel,2.99,2007-08-03,0,Action,0,57,20,True,False,False
2390,Heretic: Shadow of the Serpent Riders,2.99,2007-08-03,0,Action,0,417,29,True,False,False
2400,The Ship: Murder Party,0.0,2006-07-11,0,Action;Indie;RPG,0,4819,792,True,False,False
2450,Bloody Good Time,4.29,2010-10-29,0,Action,12,662,204,True,False,False
2500,Shadowgrounds,3.99,2006-05-08,0,Action,0,973,248,True,True,False
2520,Gumboy - Crazy Adventures™,0.0,2006-12-19,0,Casual;Indie,0,52,46,True,False,False
2590,Alpha Prime,2.99,2007-11-07,0,Action,0,610,523,True,False,False
